Gene,logFC.GPL96
CYP1B1,1.521213
PALLD,-1.721694
CUL2,-1.729958
KLHL21,-2.757338
RANBP10,-2.160359
BMP7,-2.476303
CLEC1B,1.774828
EFNA4,-1.770178
PEBP1,-1.593676
SERINC5,-1.769535
LDLRAP1,-3.103883
PRSS23,-1.817948
HMOX1,1.822795
ZBTB44,-1.993567
DENND1B,-1.512725
EXOC3,-2.473639
GOSR2,-1.759684
KIR2DL2,2.338236
OMD,4.251498
UNC13B,1.647412
CCR3,-2.286009
FBLN5,-2.49189
GATA6,2.853536
HHLA3,-2.59197
MAGI1,-1.576889
NOLC1,-2.552498
PAPPA,2.319742
SIGMAR1,-1.849936
TRMT1,1.890154
ZNF688,-2.52001
NKX3-1,1.900565
S100A9,1.58258
ABLIM1,-1.817036
SCAMP1,-3.526887
SLC39A8,1.670196
PART1,2.533796
GAGE1,3.001423
VEZF1,-1.596451
ARHGEF26,3.1362
DDX23,-2.514869
FRMPD4,2.094577
RCN2,-2.535158
TST,-2.252091
AGRP,2.089163
DHX57,-2.085086
FNBP1,-1.689382
FOXN3,-1.638836
IFNA13///IFNA1,2.265853
KRIT1,-2.208915
WDR61,-2.338256
DIEXF,-1.593741
NME3,-2.366744
LBH,-1.651378
LAG3,1.982829
MRPL34,-2.175856
MRPL41,2.892441
SLC2A3,1.710653
GABBR2,2.09225
DYRK2,-1.955072
SMURF2,-1.712335
ALCAM,-2.310682
SH3YL1,-1.934562
PHF20,-1.637326
ZKSCAN8,1.680286
PTK2,-1.933415
SKP2,-2.413004
HSPB1,1.889376
KRT5,2.456405
LCN2,2.461789
MIR943///NELFA,-1.920587
SNTG1,1.922099
SIM1,2.839364
WDR74,-2.017439
RGS17,1.695879
VIPR2,3.058255
GIMAP6,-1.762574
SLC11A1,1.6391
LAT,-1.596544
PMAIP1,-1.7471
INTS6,-1.642664
PRDM14,2.415752
MTIF2,-2.288779
NPRL2,-3.535839
CNTN6,2.280402
S100P,2.069226
ZBED5,-2.010209
FNBP4,-1.971642
CNTNAP1,1.564376
LRRC75B,1.983925
HN1L,-2.542759
SAMSN1,1.737087
IL1A,1.642421
LOC101929500///CRIM1,-2.482683
ANXA11,-1.558786
LOC101929219///LOC100505650///C1orf186,-2.405333
VAT1,1.585918
SIK3,-1.893435
FZD10,1.937754
KNG1,2.043579
RUNX1-IT1,-2.010764
SNORD23///GLTSCR2,-1.520812
CNOT9,2.103891
KCNJ10,2.499045
KLRF1,-2.78463
PPP3CC,-3.782594
TRIM33,-2.223439
DMC1,1.551825
SMPDL3A,1.530107
ZNF529,-1.504752
ZNF84,-2.195081
BRF1,-2.001321
CSNK1G2,-2.05568
EIF2AK3,-1.517736
F12,-2.168908
NADSYN1,-1.991561
PKD2L2,-2.590748
PRIM2,-3.258657
RHD,2.628363
RRP1,-2.282821
SART3,-4.221556
VRK1,-2.224641
ZC3H7B,-1.593002
OR52A1,2.560853
ITPKB,-1.672839
CEP63,-2.410947
SLC6A6,2.004391
ZFP36L1,-1.696046
MIR8085///BCL3,1.94258
CHPF,1.555081
FZD4,2.024531
MFAP5,1.533235
RBM12B,-1.625578
RNF41,-2.971632
TUSC3,1.568294
DNAJA4,1.536769
ORM2///ORM1,2.287585
TOR3A,-1.637425
KRT75,2.147722
GSTM4,-3.465353
SLC4A7,-2.156701
OR12D3///OR5V1,2.268176
MCM3AP,-2.593515
ZNF652,-2.007262
CDC42BPA,1.987721
LOC100129503,2.330597
HJURP,2.349803
PPIL2,-1.733399
RAP1GAP,2.426303
HEXA,-1.632805
TLE1,2.053083
CDIP1,-1.509927
PDPK1,-1.563831
BTG4,1.663091
HTR3B,1.93504
SPG20,1.929223
NR6A1,1.887693
MICA,-2.217856
PRKRA,-2.117
INPP5B,-2.22078
ANP32C,1.89132
CASP10,1.997368
DIAPH2-AS1,1.544307
LRCH1,-2.409071
TAF12,-2.222373
CTSW,-1.953718
NPAS1,-1.594512
FARP1,2.145044
HIST1H4E,2.179532
ID2,-1.62907
LIN7C,-2.052668
NDE1,-1.635745
SFTPD,1.82787
ZNF211,-2.488695
USP19,-1.82774
ADGRE3,-2.808951
IARS,-1.510923
IVD,-2.719922
MARCKSL1,-1.693158
MS4A4A,2.486351
REPS1,-2.562141
HLA-DQB1,-1.675415
SIGLEC5,1.586818
SMARCAL1,-2.502057
TLX3,4.588359
NRG2,2.24298
PCNX2,-1.74595
FGFR1OP,2.652976
CRIPT,-2.081479
PGRMC2,-1.745486
KLHL24,-2.450837
LOC101928551///ADAM29,2.25855
RASGRP1,-1.566566
MICA///MICB,-2.496349
MAP3K5,-2.144159
TAF6L,-1.93037
SCML1,-2.739452
PLEKHA1,-2.142441
TMEM127,-1.594276
EBP,-2.003934
ELAVL2,1.663121
IFI27,2.757806
MFHAS1,-1.782634
MTSS1L,2.34634
SLC16A7,-1.668193
SRSF11,-1.816639
MAPKAPK5,-1.630189
TRAT1,-1.867844
ZNF148,-1.503695
PMM1,-2.714271
CEACAM7,2.035826
PSMD4,-2.186298
PSTPIP2,1.528226
SEMA3G,2.374824
CEACAM6,1.775946
ABI2,1.557702
CALML5,2.022308
CCHCR1,1.874749
SUGP2,-2.349967
ACR,1.680196
CAT,-3.020792
EXOSC7,-2.386289
SCAF11,-1.545899
IL18,-2.773785
NFAT5,2.339399
MAPK9,-3.175168
SMIM7,-2.56259
BCL7C,-1.673506
NONO,-1.995237
EDDM3A,2.810022
TNFAIP6,2.221274
SCNN1A,2.994829
NF1P9///NF1,1.680481
GRPEL1,-2.264092
NOX5,2.129853
POLM,-1.599887
SLC18A1,2.023706
FOXF2,1.56638
EFNA1,-2.010543
NPAS3,2.177613
C14orf1,-2.477061
LOC102725213///LOC100507387///FAM153A///FAM153B,1.873466
PTPRF,1.801374
RBM25,-1.935662
SPRR1A,1.740374
TNIK,-2.337241
NET1,-2.106142
C11orf68,-2.01455
SULT1E1,2.535246
EHBP1,-2.732492
MAPK1IP1L///FCF1,-1.594616
AOX1,1.794716
GLYAT,1.809883
KIR3DX1,2.421554
MIR6849///MIR1234///MIR939///CPSF1,-1.995962
RASGRP3,-2.206266
SMTN,2.317395
C8B,1.768103
GID4,1.826947
MTUS1,-1.570163
SETD4,1.921769
MED1,-2.389087
PRKAA1,-1.980635
TRIM10,1.513934
ZMAT5,-1.686269
KCNK2,2.075816
ZNF576,-1.897407
TNIP3,2.287635
KCNF1,-1.516379
CAMP,1.534533
B9D1,2.250844
EXOC2,-2.679739
RBMXL2,1.5059
CPNE7,2.160451
ZNF668,-1.705602
ABCB4,-1.758296
BFSP2,1.677464
DDX27,-2.601617
GNB1L,-1.570938
ICAM4,-2.188719
SMC3,-2.132865
UGT1A3///UGT1A1///UGT1A4///UGT1A9///UGT1A5///UGT1A6///UGT1A7///UGT1A8///UGT1A10,1.649674
ANGPT4,2.682185
SYMPK,-2.435162
PPP2R5B,-1.506394
NDUFA7,-3.100706
TGFBRAP1,-2.309957
CACNA2D3,-2.962191
PPP1R3C,1.625723
CADM3,1.948923
RRAS,1.867636
SHOX2,2.279118
PRPF4,-2.068039
LOC149684///BPI,3.118144
SPON1,-1.587355
BPGM,1.591616
KDM4B,-2.005136
KLHL3,-1.940205
SS18,1.966857
MYO5A,2.092523
PADI1,2.173254
CCDC68,2.694847
FUT8,-2.214932
ATMIN,-1.885058
CDKAL1,-2.209849
C11orf24,-2.346828
CWF19L1,-2.769274
DIDO1,-2.068105
PAGR1,-1.700346
MSH3,-2.462667
MYH11,2.004174
LOC101930241///ARHGEF4,1.711393
WDR46,-1.677129
FCGR1CP///FCGR1B///FCGR1A,1.620229
SYCP1,-1.67645
PAQR6,1.667323
GLT8D1,-2.562909
PLK4,3.390177
TTC9,-2.220389
HSF4,1.939216
SFPQ,-1.973711
FZD2,-2.45392
MYOT,1.663362
FAF1,-1.621984
SMARCA5,-2.477291
HOXD9,1.825037
ZBTB17,-2.28222
FAP,1.910873
NR1I2,2.166286
ZSCAN16,-1.539865
ID3,-2.123278
U2SURP,-3.049125
CNNM4,-1.665844
LIME1,-2.011791
SIM2,1.705921
SSBP2,-1.668167
MUC7,2.566702
RBM14,-1.902991
UNC93A,2.61695
GOLGA2,-1.741954
CD24,-2.218269
CT55,-1.954253
MAD1L1,-1.67394
ACKR4,2.48339
FBXO16///ZNF395,-1.983191
RIMBP2,2.277411
PRPS1L1,1.977962
POGZ,-1.628637
GAS1,3.267286
HIST2H4B///HIST4H4///HIST2H4A///HIST1H4L///HIST1H4E///HIST1H4B///HIST1H4H///HIST1H4C///HIST1H4J///HIST1H4K///HIST1H4F///HIST1H4D///HIST1H4A///HIST1H4I,2.812188
SPRYD7,2.389069
UNKL,-1.933477
NSUN5P2///NSUN5P1,-2.52289
TIMM8B,1.592036
FUT6,1.803496
SPATA5L1,-1.974991
SSX2IP,1.614059
HTRA1,1.677145
CLSPN,-1.832733
DDX52,-1.580047
MAK,-1.762271
MIR5193///UBA7,-2.218019
MMP19,1.918042
PKNOX1,-2.155529
LRRC14,-1.780526
LILRB1,1.793926
LOC100509457///HLA-DQA2///HLA-DQA1,-1.983971
SMYD2,-1.627208
ZNF750,2.734486
AAK1,-1.820631
CXCR6,1.745951
MYO19,1.57515
NTN1,1.950916
PADI4,1.567912
PTGIS,3.019863
UQCRB,1.63964
ZNF184,-1.897336
SV2A,1.933805
BMP1,1.618902
C2orf68,-2.564072
PLPPR1,1.870071
GLRA3,2.176207
ADGRV1,2.086206
TUBGCP3,-2.595248
SMARCA2,-2.373824
MED14,2.022231
SRSF10,-2.739221
PPP1R16B,-1.584015
AIM2,1.534612
CA1,2.924049
DHX30,-1.816377
GPD2,2.121201
MAPRE2,-1.697906
MED13L,-2.095193
SUN1,1.560897
ASMTL,-1.796421
C1orf21,1.762872
ABLIM3,2.214939
SOX2,-2.06491
CTNND2,2.172339
FMO4,1.500599
MYOZ1,2.329415
BUB1,-2.370895
DDX46,-1.531681
FGF23,2.205714
IL11RA,-2.562171
LOC81691,2.026974
PPM1G,-2.042068
NECTIN1,1.686866
CBS,1.723855
GTF2H1,-3.116159
POU6F1,-1.653377
PTPN12,2.059369
SLC12A5,2.493745
SVEP1,2.040463
URGCP,-2.223866
LHFP,1.534173
GOLPH3L,-2.546952
DEFA4,2.900336
IL7R,-1.812773
KL,2.57793
ZNF212,-1.74288
BPIFA1,1.857921
C2CD2,2.427751
SPSB3,-2.103496
CCL15-CCL14///CCL14,1.665867
IQCB1,-1.601209
KPNA1,-1.768123
HNRNPH1,-1.917892
MAN1A2,-2.664635
NFATC1,2.157026
ZNF443,-1.624008
TAF1B,-2.587724
LINC01140,1.507787
OGG1,-1.561768
EXOC5,-2.456123
ARHGAP19,-2.583603
GPSM2,1.80365
KANSL2,-1.846633
MRPS15,-2.170981
TTI1,-1.822459
ABCB8,-1.619251
ITPR1,-2.114592
LRRC41,1.779076
SOX10,1.981318
TEX28,1.802245
CH25H,-1.687695
BAIAP3,-2.282818
BICD1,-2.329284
BLVRA,-2.33684
GLTSCR1L,-2.339861
NUP98,-2.099001
PODNL1,-2.284606
ROCK2,-1.655636
ITPR3,-1.869389
PTH1R,1.538278
GALNT8///KCNA6,1.753535
PTPRK,-1.66663
SYNE1,-2.1784
ANK1,1.575007
GSS,-1.960334
IGHV4-31///IGHM///IGHG3///IGHG1///IGHD///IGHA2///IGHA1,1.622624
NUMA1,-2.183141
FER1L4,2.150455
SNX5,-2.111468
SFRP1,1.952352
FZD1,2.540663
ATF7IP2,-1.829548
ITGA2B,1.644955
SERPINB13,2.636935
DNPEP,-1.83169
MYOM2,-1.729521
RGS14,-1.697746
FRMD4A,2.285097
PRPF3,-1.690084
SPIN1,-1.625845
KCNJ13,2.17804
TLE4,-3.213167
ELAVL3,-1.746741
REST,2.44174
LINC00623///LINC00869,-2.214112
MBD3,1.607252
YBX3,-1.56441
ANKRD40,-1.547412
IVL,2.181698
SFRP4,2.825317
SYNJ2,-2.792002
LRRN3,-2.116088
ICAM1,1.729126
TRAK1,-1.79099
MCL1,1.873509
YME1L1,-2.107129
RASA4B///RASA4CP///RASA4,-2.014804
COQ4,-2.197461
MYO9B,1.638953
ZNF729///ZNF43,-1.59977
DCUN1D4,-1.970177
UGT1A3///UGT1A1///UGT1A9///UGT1A5///UGT1A8,1.783171
WDR45,-1.60359
CDH11,2.183025
CASP8AP2,-1.79995
CIITA,1.503856
LINC01278,-1.830493
SDR39U1,-2.1649
EEF1D,-1.677322
GPD1L,-1.903998
GPR20,-1.94793
SNORA70///RPL10,-1.628308
XPNPEP1,-1.621356
RPS21,-1.682944
CAPN3,1.725953
HIST1H1T,-1.950366
SLC38A4,2.28338
PTGDR,-2.331017
GRSF1,-1.995351
HBS1L,-1.527045
GIPC2,1.707003
LAMC1,-1.612901
ADGRG1,-2.234654
PRKCZ,-1.940465
CD244,-1.898003
RNF125,-1.735969
TTTY9B///TTTY9A,1.556148
LIPE,1.962968
UPK1A,1.839893
SHQ1,-2.780842
SSX3,1.990683
ADAMTS8,-1.862391
PTX3,1.949426
SCN2B,1.951713
TCF12,-2.127744
STAG1,-1.916027
SIGLEC15,2.027147
MLEC,-2.366112
PITPNA,-2.018987
MSR1,1.605447
OSBPL2,-1.764777
SMPD3,-1.947894
ISG20L2,-1.725738
GRIA1,1.631
CETP,2.317604
CTSG,2.513891
FASTKD2,-1.719318
GFRA2,1.740356
LAGE3,-1.536398
MED6,-1.786848
PKN2,-1.570672
MEP1A,1.727705
ENOX2,-1.601453
SERHL2,1.670175
EDN3,2.00443
POU2F1,-1.725496
FKBP4,1.717242
MPDZ,1.855201
CA2,2.082685
WHSC1L1,1.63217
SPAG9,1.523981
GALNT10,-1.537315
LRP1B,2.083446
MRPS31,-2.064001
ADCY9,-2.464657
CD96,-1.769331
CFAP20,-1.787692
SAC3D1,-2.373402
IQCK,1.60253
OR51E2,1.779059
IGHG1///IGHD///IGHA2///IGH,1.70921
CA5A,1.798069
C7orf55-LUC7L2///LUC7L2,-1.701362
YTHDC2,-1.943299
KIAA1654,2.492258
RFX4,2.131607
BATF3,-1.894216
CXCL12,1.574002
MBOAT7,1.692983
INPP4A,-2.814019
TNFSF14,-2.221092
MIA3,-1.86219
MMP10,2.185068
CRISP3,2.733559
C8orf44-SGK3///SGK3,-2.40408
CCL23,-2.681244
NAV3,2.083424
PPP4R2,-1.860426
ERVH-4,2.336774
TRIM37,-1.835376
GFM1,1.660105
MS4A12,1.70224
CCDC71,-1.827304
PDE5A,2.626777
PRKCDBP,1.984067
KLF13,-2.842052
DDX17,-2.481915
NSUN5P1,-2.006562
PLPP1,-1.765585
DPM3,-1.524185
PLEKHF1,-2.225691
NCR1,2.22791
PNMA2,1.707037
HRC,-1.894421
COL5A1,2.49298
LY9,-2.425028
MAOA,1.958523
METTL3,-1.892995
MIR4683///FZD8,-1.856703
SLC30A6,2.596041
TTLL4,2.233603
ABCF2,-1.727396
C7orf26,-1.594708
TNPO2,-1.824093
